Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
TZP_G,0.8574007153511047,0.15151515151515152,0.9021113243761996,0.08928571428571429,0.9437751004016064
TZP_S,0.9404332041740417,0.0,1.0,0.0,0.9404332129963899
TZP_GY,0.9025270938873291,0.18181818181818182,0.9481765834932822,0.18181818181818182,0.9481765834932822
TZP_SY,0.9404332041740417,0.030303030303030304,0.9980806142034548,0.5,0.9420289855072463
TZP_GS,0.9332129955291748,0.06060606060606061,0.9884836852207294,0.25,0.9432234432234432
TZP_GYS,0.8610108494758606,0.24242424242424243,0.9001919385796545,0.13333333333333333,0.9493927125506073
CXM_G,0.7793427109718323,0.6453488372093024,0.828693790149893,0.581151832460733,0.8638392857142857
CXM_S,0.7527386546134949,0.6337209302325582,0.7965738758029979,0.5343137254901961,0.8551724137931035
CXM_GY,0.7981220483779907,0.6802325581395349,0.841541755888651,0.612565445026178,0.8772321428571429
CXM_SY,0.7621283531188965,0.6453488372093024,0.8051391862955032,0.5495049504950495,0.8604118993135011
CXM_GS,0.7856025099754333,0.6918604651162791,0.8201284796573876,0.5862068965517241,0.8784403669724771
CXM_GYS,0.7934272289276123,0.6686046511627907,0.8394004282655246,0.6052631578947368,0.8730512249443207
CET_G,0.769784152507782,0.8157894736842105,0.7378048780487805,0.6838235294117647,0.852112676056338
CET_S,0.7050359845161438,0.5877192982456141,0.7865853658536586,0.6568627450980392,0.7329545454545454
CET_GY,0.8093525171279907,0.7192982456140351,0.8719512195121951,0.7961165048543689,0.8171428571428572
CET_SY,0.7374100685119629,0.5789473684210527,0.8475609756097561,0.7252747252747253,0.7433155080213903
CET_GS,0.7841726541519165,0.7719298245614035,0.7926829268292683,0.7213114754098361,0.8333333333333334
CET_GYS,0.7769784331321716,0.7280701754385965,0.8109756097560976,0.7280701754385965,0.8109756097560976
GEN_G,0.7902973294258118,0.6914893617021277,0.8073394495412844,0.38235294117647056,0.9381663113006397
GEN_S,0.8309859037399292,0.4148936170212766,0.9027522935779817,0.42391304347826086,0.8994515539305301
GEN_GY,0.7902973294258118,0.723404255319149,0.8018348623853211,0.38636363636363635,0.9438444924406048
GEN_SY,0.7934272289276123,0.5425531914893617,0.8366972477064221,0.36428571428571427,0.9138276553106213
GEN_GS,0.8309859037399292,0.6595744680851063,0.8605504587155963,0.4492753623188406,0.936127744510978
GEN_GYS,0.8247261643409729,0.6914893617021277,0.8477064220183487,0.4391891891891892,0.9409368635437881
TBM_G,0.8057553768157959,0.6296296296296297,0.8781725888324873,0.68,0.8522167487684729
TBM_S,0.7625899314880371,0.5925925925925926,0.8324873096446701,0.5925925925925926,0.8324873096446701
TBM_GY,0.7913669347763062,0.7160493827160493,0.8223350253807107,0.6236559139784946,0.8756756756756757
TBM_SY,0.7769784331321716,0.7160493827160493,0.8020304568527918,0.5979381443298969,0.8729281767955801
TBM_GS,0.8309352397918701,0.7407407407407407,0.868020304568528,0.6976744186046512,0.890625
TBM_GYS,0.8021582961082458,0.7283950617283951,0.8324873096446701,0.6413043478260869,0.8817204301075269
TMP_G,0.7769784331321716,0.635593220338983,0.88125,0.7978723404255319,0.7663043478260869
TMP_S,0.6510791182518005,0.4576271186440678,0.79375,0.6206896551724138,0.6649214659685864
TMP_GY,0.7661870718002319,0.6610169491525424,0.84375,0.7572815533980582,0.7714285714285715
TMP_SY,0.6187050342559814,0.4661016949152542,0.73125,0.5612244897959183,0.65
TMP_GS,0.7913669347763062,0.7203389830508474,0.84375,0.7727272727272727,0.8035714285714286
TMP_GYS,0.7661870718002319,0.6949152542372882,0.81875,0.7387387387387387,0.7844311377245509
CIP_G,0.898278534412384,0.9014084507042254,0.89738430583501,0.7150837988826816,0.9695652173913043
CIP_S,0.8560250401496887,0.8380281690140845,0.8611670020120724,0.6329787234042553,0.9490022172949002
CIP_GY,0.9186228513717651,0.8873239436619719,0.9275653923541247,0.7777777777777778,0.9664570230607966
CIP_SY,0.8450704216957092,0.6549295774647887,0.8993963782696177,0.6503496503496503,0.9012096774193549
CIP_GS,0.9092331528663635,0.8873239436619719,0.9154929577464789,0.75,0.9660297239915074
CIP_GYS,0.9154929518699646,0.8591549295774648,0.93158953722334,0.782051282051282,0.9585921325051759
